identifier,condition,task_1,task_2,total_time,total_time_map,total_time_calendar,total_time_overview,total_circle_clicks,total_circle_clicks_add,total_circle_clicks_remove,total_circle_clicks_map,total_circle_clicks_map_add,total_circle_clicks_map_remove,total_circle_clicks_calendar,total_circle_clicks_calendar_add,total_circle_clicks_calendar_remove,total_remove_single_clicks,total_remove_all_clicks,total_sort_open_clicks,total_sort_option_clicks,total_circle_hovers,total_circle_hovers_map,total_circle_hovers_calendar,map_circle_hover,map_circle_click_add,map_circle_click_remove,calendar_circle_hover,calendar_circle_click_add,calendar_circle_click_remove,overview_remove_single,overview_remove_all,overview_sort_open,overview_sort_option
1,1,1,3,83.03,54.6,0.0,28.43,15,9,6,9,9,0,0,0,0,5,1,0,0,35,35,0,0-9-0-0-0-0-2-0-0-0,8-0-0-0-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
2,1,1,3,275.56,178.06,0.0,97.51,18,11,7,11,11,0,0,0,0,6,1,0,0,83,83,0,0-11-0-0-0-0-2-0-0-0,11-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
3,2,2,4,116.37,96.28,1.96,18.12,9,6,3,6,6,0,0,0,0,2,1,0,0,44,44,0,0-6-0-0-0-0-1-0-0-0,6-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
4,2,2,4,109.47,5.56,78.71,25.2,13,8,5,0,0,0,8,8,0,4,1,0,0,42,0,42,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-8-0-0-0-0-0,0-0-0-5-0-0-3-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
5,2,2,4,238.62,43.79,192.68,2.15,12,7,5,0,0,0,12,7,5,0,0,0,0,122,0,122,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-7-5-0-0-0-0,0-0-0-7-0-0-0-0-0-0,0-0-0-5-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
6,1,1,3,374.57,190.45,149.98,34.14,26,14,12,3,3,0,18,11,7,4,1,0,0,57,25,32,0-3-0-0-0-0-0-0-0-0,1-0-0-0-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-11-7-0-0-0-0,0-0-0-11-0-0-0-0-0-0,0-0-0-6-0-0-1-0-0-0,2-0-0-1-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
7,1,1,3,1510.58,765.79,315.39,429.4,70,37,33,31,22,9,24,15,9,14,1,0,0,93,59,34,0-21-5-1-0-0-0-1-0-0,17-0-4-0-0-0-1-0-0-0,8-1-0-0-0-0-0-0-0-0,1-0-0-0-13-7-1-0-0-0,0-0-0-13-0-2-0-0-0-0,0-0-0-7-2-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
8,2,2,4,108.82,7.31,89.37,12.14,12,8,4,0,0,0,9,8,1,2,1,0,0,36,0,36,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-8-0-1-0-0-0,0-0-0-7-0-1-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
9,2,2,4,226.57,41.47,116.75,68.34,14,8,6,0,0,0,8,8,0,5,1,0,0,46,0,46,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-8-0-1-0-0-0,0-0-0-7-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
10,2,2,4,271.02,32.94,180.78,57.3,20,12,8,0,0,0,14,12,2,5,1,0,0,79,0,79,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-12-0-2-0-0-0,0-0-0-9-0-2-1-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
